"","Country","Location","x.Sample Mean","x.Sample SD"
"1","CANADA","RURAL",11.430579, 7.629464
"2","MEXICO","RURAL", 8.512818, 7.324204
"3","USA","RURAL", 8.761600, 7.132344
"4","CANADA","URBAN",31.003091, 8.175206
"5","MEXICO","URBAN",26.191786,15.517216
"6","USA","URBAN",32.064933,12.288999
