"","Country","Location","x.Sample Mean","x.Sample SD"
"1","CANADA","RURAL", 8.684211, 3.682581
"2","MEXICO","RURAL", 6.818182, 4.445631
"3","USA","RURAL", 8.466667, 3.814758
"4","CANADA","URBAN",12.545455, 3.908034
"5","MEXICO","URBAN",12.000000, 5.670436
"6","USA","URBAN",12.800000, 4.126569
